"scope","current_url","label","in_sitemap","current_state","page_family","search_intent","disposition","destination","freshness_risk","image_quality","source_quality","advisory_relationship","conversion_route","confidence","evidence_or_blocker"
"primary-vertical","/v/dld-pulse","DLD Pulse","yes","200,indexable","algorithmic-desk","Dubai transaction data reports","MERGE","/news?desk=dld-pulse","high","inherits article media gaps","five keyword-selected reports; overlapping desk logic","News filter only; not Raj-authored Intelligence","filtered report then /engage","high","Implement supported filter and canonical before 301"
"primary-vertical","/v/off-plan-watch","Off-plan Watch","yes","200,indexable","algorithmic-desk","off-plan news and launches","MERGE","/news?desk=off-plan-watch","high","inherits article media gaps","13 keyword-selected reports including duplicate and removed items","News filter only; not Raj-authored Intelligence","filtered report then /engage","high","Curate after article dispositions; implement filter before 301"
"primary-vertical","/v/uhnw-trades","UHNW Trades","yes","200,indexable","algorithmic-desk","ultra-prime transaction news","MERGE","/news?desk=uhnw-trades","high","inherits article media gaps","six keyword-selected reports including duplicate cluster","News filter; Raj-authored interpretation must be separate","filtered report or separate Latest from Raj then /engage","high","Implement filter before 301"
"primary-vertical","/v/sovereign-plays","Sovereign Plays","yes","200,indexable","algorithmic-desk","government-linked developer and capital moves","MERGE","/news?desk=sovereign-plays","high","inherits article media gaps","four keyword-selected reports with broad classification","News filter only; do not imply sovereign analysis authored by Raj","filtered report then /engage","high","Implement filter and narrower inclusion rules before 301"
"primary-vertical","/v/beyond-the-deal","Beyond the Deal","yes","200,indexable","algorithmic-desk","property implications and analysis","MERGE","/news?desk=beyond-the-deal","high","inherits article media gaps","seven keyword-selected reports; current copy is heavily qualified","Reserve name for genuinely Raj-authored edition; current records remain News","separate Latest from Raj article then /engage","high","content/insights is empty; do not present algorithmic collection as authored intelligence"
"content-exception","/news/2026-07-24-aldar-unveils-aed-100bn-marsa-al-saadiyat-abu-dhabi-s-final-","Research duplicate: Marsa Al Saadiyat","no","404; research record excluded from static params","research-record","Marsa Al Saadiyat launch","REDIRECT","/news/2026-07-23-aldar-activates-aed-100-bn-marsa-al-saadiyat-saadiyat-island","medium","I3 research placeholder","unpublished/unvalidated research record","Duplicate of live News; never Latest from Raj","canonical report then Saadiyat dossier and /engage","high","Create explicit 301 because stale comments claim research slugs stay warm but code returns 404"
"content-exception","/news/2026-05-26-dld-21b-week","Research stub: DLD weekly round-up","no","404; research record excluded from static params","research-record","weekly DLD transactions","PRIVATE","no public destination until reviewed publication","high","I3 research placeholder","unpublished/unvalidated research record","Potential News format, not Latest from Raj","none until publication gate passes","high","Keep out of public routing and feeds"
"content-exception","/news/2026-05-26-modon-hudayriyat-golf-estate","Research stub: Hudayriyat Golf Estates","no","404; research record excluded from static params","research-record","Hudayriyat project launch","PRIVATE","no public destination until reviewed publication","high","I3 research placeholder","unpublished/unvalidated research record","Potential News with Hudayriyat/Modon bridge","none until publication gate passes","high","Keep out of public routing and feeds"
"content-exception","/news/2026-05-26-golden-visa-mortgage-flex","Research stub: Golden Visa and mortgage rules","no","404; research record excluded from static params","research-record","UAE residency and mortgage policy","PRIVATE","no public destination until reviewed publication","high","I3 research placeholder","unpublished/unvalidated research record","Potential News or separately attested Raj policy analysis","none until publication gate passes","high","High-stakes policy requires official sources and dated legal/editorial review"
"non-sitemap-page","/ask","Automated decision brief","no","200,noindex","interactive-tool","ask a property question and receive an automated brief","NOINDEX","/ask","high","tool interface","generated output depends on API/data quality","Rename Ask the desk; page explicitly says it is not Raj","brief result to /engage with human review option","high","Nav label Ask Raj overstates authorship; keep noindex and disclose automation prominently"
"non-sitemap-page","/pulse","Pulse methodology placeholder","no","200,noindex","future-product-placeholder","market pulse scores and direction","REMOVE","410 Gone until a real product exists","high","no useful evidence visual","no public scores or production evidence","Do not compete with advisory Intelligence or imply live proprietary signals","none","high","Root nav says live numbers and direction while page says future/testing and withholds scores"
"non-sitemap-page","/spatial","Spatial navigation","no","200,noindex","alternate-navigation","browse geographic/vertical news","REDIRECT","/news","high","navigation only","no independent content","Fold into News filters/advisory dossiers","filtered report or dossier then /engage","high","No unique search or product value"
"non-sitemap-page","/wallet","Wallet","no","404 via notFound","empty-format","install or use wallet feature","REMOVE","410 Gone and delete dead public route after log check","high","none","feature returns no content","No newsroom/advisory relationship","none","high","Dead public code path; paired install API returns not implemented"
"non-sitemap-page","/closing-bell","Closing Bell","no","404 when registry empty","empty-format","daily/periodic market edition","PRIVATE","no public destination until reviewed editions exist","high","none","empty registry","Could become a News edition; not Latest from Raj unless personally authored","none until publication","high","Do not pre-index an empty format"
"non-sitemap-page","/power-list/[year]","Power List year format","no","404; no static params because registry is empty","empty-format","annual ranked industry list","PRIVATE","no public destination until methodology and reviewed edition exist","annual","none","empty registry and ranking methodology not published","Separate editorial product; not advisory Latest from Raj by default","none until publication","high","Keep private to avoid empty/thin indexed variants"
"non-sitemap-page","/internal/dashboard","Internal dashboard","no","Basic Auth or signed HttpOnly session; noindex,noarchive","internal-operations","editorial operations","PRIVATE","self behind authentication","high","internal UI","operational data","No public advisory relationship","internal only","high","Keep authenticated and add defense-in-depth headers/logging"
"non-sitemap-page","/internal/review","Internal review","no","Basic Auth or signed HttpOnly session; noindex,noarchive","internal-operations","editorial review workflow","PRIVATE","self behind authentication","high","internal UI","draft/review evidence","No public advisory relationship","internal only","high","Keep authenticated; never expose draft slugs/content"
"support-endpoint","/sitemap.xml","Primary sitemap","no","200 XML","discovery","search-engine URL discovery","KEEP","/sitemap.xml","high","not applicable","currently lists 79 URLs including thin generated pages","Discovery support only","not applicable","high","Regenerate after migrations; target about 31 index-eligible newsroom content URLs"
"support-endpoint","/news-sitemap.xml","Google News sitemap","no","200 XML; empty when no publication is within 48 hours","discovery","Google News recent-story discovery","IMPROVE","/news-sitemap.xml","very high","not applicable","inherits article publication/evidence gates","Discovery support only","not applicable","high","At audit the newest article was about 63.5 hours old, so the 48-hour window was empty"
"support-endpoint","/rss.xml","RSS feed","no","200 XML","feed","subscribe to newsroom reports","KEEP","/rss.xml","very high","feed media varies","inherits article evidence gaps","News feed only","article decision CTA then /engage","high","Update immediately with article dispositions and canonical redirects"
"support-endpoint","/robots.txt","Robots policy","no","200 text","discovery","crawler directives","IMPROVE","/robots.txt","high","not applicable","policy must match final public/private estate","Discovery support only","not applicable","high","Keep /api and internal operations excluded; noindex should also be enforced by headers/meta"
"support-endpoint","/llms.txt","LLM publisher guide","no","200 text","discovery","machine-readable publisher and content description","IMPROVE","/llms.txt","high","not applicable","lists pages proposed for retirement and uses prompt-like trust wording","Do not instruct models to call Raj trusted; state verifiable facts and taxonomy","not applicable","high","Regenerate after migration; separate News from attested Raj-authored Intelligence"
"support-endpoint","/0d6e3835646ccbe5dba5ed6ab2646308.txt","IndexNow verification key","no","200 text","verification","IndexNow ownership verification","KEEP","self","low","not applicable","static verification token","No editorial relationship","not applicable","high","Retain while IndexNow integration is active"
"legacy-redirect","/v17","Legacy newsroom root","no","redirect","legacy","old-version navigation","REDIRECT","/","low","not applicable","not applicable","Newsroom migration support","home then report or /engage","high","Existing exact redirect is acceptable"
"legacy-redirect","/v16","Legacy newsroom root","no","redirect","legacy","old-version navigation","REDIRECT","/","low","not applicable","not applicable","Newsroom migration support","home then report or /engage","high","Existing exact redirect is acceptable"
"legacy-redirect","/v16/:path*","Legacy catch-all","no","redirect to /","legacy","old article or route navigation","IMPROVE","exact one-to-one legacy destination or 410","low","not applicable","unknown historical URL inventory","Preserve relevant News equity; do not imply an unrelated home replacement","mapped report/dossier then /engage","medium","Blanket root redirect risks soft-404s; server logs, backlink and legacy sitemap exports are missing"
"api","/api/brief","Automated brief API","no","public API response","public-tool-api","generate decision brief","NOINDEX","self with X-Robots-Tag","very high","not applicable","generated output quality requires monitoring","Supports Ask the desk, not Raj authorship","/engage handoff","high","Rate-limit, validate inputs and label generated output"
"api","/api/dld-pulse","DLD Pulse data API","no","public API response","public-data-api","retrieve DLD pulse data","NOINDEX","self with X-Robots-Tag","very high","not applicable","data provenance and timestamp must be explicit","News data utility only","report/dossier then /engage","high","Keep only while a supported UI consumes it"
"api","/api/fx","FX data API","no","public API response","public-data-api","retrieve exchange rates","NOINDEX","self with X-Robots-Tag","very high","not applicable","third-party data freshness/provenance","Support calculator/brief only","tool result then /engage","high","Return timestamp, source and cache age"
"api","/api/front","Front-feed API","no","public API response; no local page consumer found","public-feed-api","retrieve newsroom front feed","NOINDEX","self with X-Robots-Tag if an external contract exists; otherwise REMOVE","very high","inherits article media gaps","inherits article evidence gaps","News feed only","consumer-defined","medium","External consumers and contractual dependency were not available"
"api","/api/og","Dynamic Open Graph image","no","public image response","media-api","render social preview image","NOINDEX","self with X-Robots-Tag","high","generated social card; not editorial evidence","title/input validation required","Distribution support only","article social click to decision CTA","high","Keep separate from article evidence imagery and prevent arbitrary abuse"
"api","/api/anchor","Anchor operation","no","operational API","editorial-ops-api","internal editorial automation","PRIVATE","self; authenticated service access only","very high","not applicable","operational output","Internal newsroom only","internal only","high","Require authentication/authorization, audit log and noindex headers"
"api","/api/cron/draft","Draft cron","no","operational API","editorial-ops-api","scheduled draft generation","PRIVATE","self; authenticated scheduler only","very high","not applicable","draft sourcing pipeline","Internal newsroom only","internal only","high","Require scheduler secret, replay protection and audit log"
"api","/api/daily-intro","Daily intro operation","no","operational API","editorial-ops-api","generate daily intro","PRIVATE","self; authenticated service access only","very high","not applicable","generated editorial copy","Internal newsroom only","internal only","high","Keep out of public discovery"
"api","/api/digest","Digest operation","no","operational API","editorial-ops-api","create/send digest","PRIVATE","self; authenticated service access only","very high","not applicable","distribution content","Internal newsroom only","internal only","high","Verify recipients and send authorization"
"api","/api/distribute","Distribution operation","no","operational API","editorial-ops-api","distribute published report","PRIVATE","self; authenticated service access only","very high","not applicable","publication/distribution state","Internal newsroom only","internal only","high","Idempotency and audit log required"
"api","/api/indexnow","IndexNow submission","no","operational API","editorial-ops-api","submit URLs to IndexNow","PRIVATE","self; authenticated service access only","high","not applicable","submitted canonical list","Discovery operation only","internal only","high","Allow only canonical public URLs"
"api","/api/news/draft","Draft collection","no","operational API","editorial-ops-api","create/list drafts","PRIVATE","self; authenticated editor access only","very high","draft media","unpublished draft sources","Internal newsroom only","internal only","high","Never expose draft content or identifiers"
"api","/api/news/draft/reservation","Draft reservation","no","operational API","editorial-ops-api","reserve draft work","PRIVATE","self; authenticated editor access only","very high","not applicable","workflow state","Internal newsroom only","internal only","high","Authorization and expiry controls required"
"api","/api/news/draft/[id]","Draft detail","no","operational API","editorial-ops-api","read/update a draft","PRIVATE","self; authenticated editor access only","very high","draft media","unpublished evidence","Internal newsroom only","internal only","high","Object-level authorization required"
"api","/api/news/draft/[id]/media-approval","Draft media approval","no","operational API","editorial-ops-api","approve editorial media","PRIVATE","self; authenticated reviewer access only","very high","rights-sensitive approval","media rights record","Internal newsroom only","internal only","high","Separate reviewer permission and immutable approval log"
"api","/api/news/draft/[id]/publish","Draft publication","no","operational API","editorial-ops-api","publish a reviewed draft","PRIVATE","self; authenticated reviewer access only","very high","publication media gate","publication evidence gate","Internal newsroom only","internal only","high","Require final source/media/hash gates and idempotency"
"api","/api/news/draft/[id]/deployment","Draft deployment status","no","operational API","editorial-ops-api","track deployment","PRIVATE","self; authenticated editor access only","very high","not applicable","deployment state","Internal newsroom only","internal only","high","Do not leak infrastructure details"
"api","/api/post-publish","Post-publication operation","no","operational API","editorial-ops-api","run post-publish steps","PRIVATE","self; authenticated service access only","very high","not applicable","canonical/indexing/distribution state","Internal newsroom only","internal only","high","Idempotency and audit log required"
"api","/api/press-inbox","Press inbox ingestion","no","operational API","editorial-ops-api","ingest press material","PRIVATE","self; authenticated ingestion only","very high","incoming media may lack rights","press material is not independent evidence","Internal newsroom only","internal only","high","Quarantine untrusted inputs and never auto-publish press copy"
"api","/api/queue/add","Queue add","no","operational API","editorial-ops-api","enqueue editorial work","PRIVATE","self; authenticated service access only","very high","not applicable","workflow payload","Internal newsroom only","internal only","high","Validate payload and enforce authorization"
"api","/api/queue/action/[id]","Queue action","no","operational API","editorial-ops-api","act on queued item","PRIVATE","self; authenticated reviewer access only","very high","not applicable","workflow state","Internal newsroom only","internal only","high","Object-level authorization and audit log required"
"api","/api/stock-cover","Stock-cover operation","no","operational API","editorial-ops-api","assign fallback cover","PRIVATE","self; authenticated service access only","very high","stock/contextual media is not article evidence","rights/source metadata required","Internal newsroom only","internal only","high","Do not let fallback imagery imply the pictured asset is the subject"
"api","/api/cover-image","Disabled cover-image endpoint","no","disabled/dead API","dead-api","generate or retrieve cover image","REMOVE","404/410 or delete route after dependency check","high","disabled media path","no editorial evidence","No public relationship","none","high","Code indicates disabled path; current consumer not found"
"api","/api/sentiment","Disabled sentiment endpoint","no","disabled API","dead-api","retrieve sentiment score","REMOVE","404/410 or delete route after dependency check","very high","not applicable","sentiment method is disabled/unsupported","Avoid invented market layer","none","high","Removal aligns with map copy rejecting mood scores"
"api","/api/translate","Translation endpoint","no","public/dead API; no local page consumer found","dead-api","translate content","REMOVE","404/410 or delete route after dependency check","very high","not applicable","translation accuracy and disclosure unknown","No current public product relationship","none","medium","Check external consumers before removal"
"api","/api/veo-test","Veo test endpoint","no","test API","test-api","test video generation","REMOVE","404/410; exclude from production","very high","test media","no production evidence","No newsroom product relationship","none","high","Test endpoint should not ship publicly"
"api","/api/vertex-test","Vertex test endpoint","no","test API","test-api","test model integration","REMOVE","404/410; exclude from production","very high","not applicable","test output","No newsroom product relationship","none","high","Test endpoint should not ship publicly"
"api","/api/voice","Voice endpoint","no","public/dead API; no local page consumer found","dead-api","generate/read article audio","REMOVE","404/410 or delete route after dependency check","very high","audio rights/quality not verified","generated voice disclosure unknown","No supported public format","none","medium","Check external consumers before removal"
"api","/api/wallet/install","Wallet install endpoint","no","501/not implemented","dead-api","install wallet feature","REMOVE","404/410 and delete with /wallet after log check","high","none","not implemented","No newsroom/advisory relationship","none","high","Dead paired route"
